eqId,runId,optId,D,OA,TO,xmax,ymax,zmax,tmax,fpSize,addsLup,subsLup,multsLup,divsLup,readsLup,writesLup,ldMats,immediateMats,nThreads,duration (s)
generic,1,PD,2,2,1,512,512,0,16,8,5,0,6,0,9,1,1,1,1,0.01948
generic,1,PD,3,2,1,64,64,64,16,8,7,0,8,0,13,1,1,1,1,0.03535
generic,1,PD,1,4,1,2.56e+05,0,0,16,8,5,0,6,0,7,1,1,1,1,0.01561
generic,1,PD,2,4,1,512,512,0,16,8,9,0,10,0,15,1,1,1,1,0.02926
generic,1,PD,3,4,1,64,64,64,16,8,13,0,14,0,23,1,1,1,1,0.2685
generic,1,PD,1,2,2,2.56e+05,0,0,16,8,4,0,5,0,6,1,1,1,1,0.01021
generic,1,PD,2,2,2,512,512,0,16,8,6,0,7,0,10,1,1,1,1,0.02505
generic,1,PD,3,2,2,64,64,64,16,8,8,0,9,0,14,1,1,1,1,0.04161
generic,1,PD,1,4,2,2.56e+05,0,0,16,8,6,0,7,0,8,1,1,1,1,0.01787
generic,1,PD,2,4,2,512,512,0,16,8,10,0,11,0,16,1,1,1,1,0.03359
generic,1,PD,3,4,2,64,64,64,16,8,14,0,15,0,24,1,1,1,1,0.1108
generic,1,PD,1,2,0,2.56e+05,0,0,16,8,2,0,3,1,1,1,0,1,1,0.01603
generic,1,PD,2,2,0,512,512,0,16,8,4,0,5,1,3,1,0,1,1,0.01297
generic,1,PD,3,2,0,64,64,64,16,8,6,0,7,1,5,1,0,1,1,0.0208
generic,1,PD,1,4,0,2.56e+05,0,0,16,8,4,0,5,1,1,1,0,1,1,0.01924
generic,1,PD,2,4,0,512,512,0,16,8,8,0,9,1,5,1,0,1,1,0.01684
generic,1,PD,3,4,0,64,64,64,16,8,12,0,13,1,9,1,0,1,1,0.08356
generic,1,PD,1,2,1,2.56e+05,0,0,16,8,3,0,4,1,2,1,0,1,1,0.01183
generic,1,PD,2,2,1,512,512,0,16,8,5,0,6,1,4,1,0,1,1,0.01272
